virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
87,9.9047196,2394950543866763.0,0.0009319798674650521,51215710523725.58,1.131108698660212e-14,1.1316946222690628e-14,2.3888733059418042e-14,1.1322803638832012e-14,2.982171751513101e-17,2.9821717515131303e-17,2.982171751513101e-17,2.982171751513101e-17
88,9.91432,2397271910258734.5,0.0009667911853887718,51364781289604.33,1.1185084657303583e-14,1.1190803516662793e-14,2.301949641972178e-14,1.1196520533336931e-14,2.919179446302717e-17,2.919179446302597e-17,2.919179446302717e-17,2.919179446302717e-17
89,9.9238932,2399586699719967.0,0.0010042447359284612,51513717459819.414,1.1060831059019977e-14,1.1066414512696116e-14,2.218426080498746e-14,1.1071996097633872e-14,2.858308043525682e-17,2.858308043525639e-17,2.858308043525682e-17,2.858308043525682e-17
90,9.933412,2401888335319723.0,0.0010445676543770338,51662092471617.38,1.0938611403407899e-14,1.0944064892707226e-14,2.1383867463045606e-14,1.0949516483490956e-14,2.7997984068669944e-17,2.7997984068671954e-17,2.7997984068669944e-17,2.7997984068669944e-17
91,9.9429036,2404183393988740.0,0.0010883324977081928,51810326918849.52,1.081807188521104e-14,1.0823400870824512e-14,2.061456153583839e-14,1.0828727923553056e-14,2.743708808570436e-17,2.7437088085705522e-17,2.743708808570436e-17,2.743708808570436e-17
92,9.952368,2406471875727019.0,0.0011360656908407257,51958418637703.984,1.0699181301524529e-14,1.0704391531790483e-14,1.987506531865233e-14,1.0709599789375675e-14,2.6902121192576177e-17,2.6902121192576008e-17,2.6902121192576177e-17,2.6902121192576177e-17
93,9.961778,2408747203603821.0,0.0011882274902901581,52105938649711.19,1.0582214985481317e-14,1.0587312812324912e-14,1.9166170854559514e-14,1.0592408620442397e-14,2.6396248693942393e-17,2.6396248693943358e-17,2.6396248693942393e-17,2.6396248693942393e-17
94,9.9711608,2411015954549884.5,0.0012457344546423954,52253310001648.24,1.0466827994357543e-14,1.0471819897521326e-14,1.8484549945322642e-14,1.0476809728253837e-14,2.592063904444506e-17,2.5920639044445463e-17,2.592063904444506e-17,2.592063904444506e-17
95,9.9805165,2413278152745102.0,0.0013095155071939796,52400532116642.77,1.03529870006004e-14,1.0357879897069569e-14,1.7829084000041017e-14,1.0362770658230652e-14,2.547785456236946e-17,2.5477854562371408e-17,2.547785456236946e-17,2.547785456236946e-17
96,9.9898449,2415533749829688.0,0.0013807076979628582,52547599697982.0,1.0240661410559369e-14,1.0245462724970912e-14,1.7198722714890164e-14,1.0250261830153387e-14,2.5070847079102612e-17,2.507084707910386e-17,2.5070847079102612e-17,2.5070847079102612e-17
97,9.9991189,2417776193052797.5,0.0014604995004386533,52694082148042.23,1.0130110765316013e-14,1.0134828856262174e-14,1.659418438854305e-14,1.0139544650844065e-14,2.4704630162313263e-17,2.4704630162311944e-17,2.4704630162313263e-17,2.4704630162313263e-17
