event_id,beta_norm,nu_in_Hframe_Hz,nu_in_initial_rest_Hz,nu_out_initial_rest_Hz,mu_initial_rest,four_momentum_relative,initial_mass_shell_relative,final_mass_shell_relative,incoming_null_absolute,outgoing_null_absolute,reverse_photon_relative,reverse_atom_relative,reverse_four_momentum_relative,same_event_transfer_absolute
1132,0.107484069392927,3205293031226863.5,3355142993752546.5,3355142912570952.5,-0.6370243271800357,2.9009563547365135e-18,0.0,0.0,0.0,2.781904613015566e-68,1.4323275903183947e-16,0.0,2.6601505578974986e-17,0.0
1133,0.3935285587819206,3888216797354230.0,3530352820219573.5,3530352728892170.0,-0.6633533528612927,2.9670360474557754e-17,3.318187064267828e-16,4.977280596401743e-16,9.273015376718553e-69,4.636507688359277e-69,4.2261678849752713e-16,0.0,1.9761525164388172e-17,0.0
1134,0.4967992946994057,1492662304900646.8,1669157792351488.8,1669157772834116.8,-0.590179583837576,1.5476242632587038e-17,3.318187064267828e-16,0.0,0.0,4.636507688359277e-69,3.7862962650767143e-16,0.0,3.7608466535823486e-17,0.0
1135,0.1712116384589644,2826762807505211.5,2458349315753140.5,2458349307212482.5,0.6792078234054965,3.645845637551451e-18,0.0,1.659093532133914e-16,4.636507688359277e-69,4.636507688359277e-69,8.120091333750951e-17,0.0,4.312844175332059e-17,0.0
1136,0.4320085433345361,1269691715875119.2,1332156382054679.5,1332156374699938.0,0.059244850387608815,3.8659182478249184e-17,0.0,1.659093532133914e-16,2.3182538441796384e-69,1.1591269220898192e-69,9.360965646297237e-16,0.0,1.1812806168827906e-17,0.0
1137,0.3839514372699033,3894228518610081.0,4159044425092791.5,4159044412195083.5,0.8307436235852306,4.2069098915787033e-17,3.318187064267828e-16,6.636374128535656e-16,0.0,0.0,2.947127019652293e-17,0.0,1.7170948161362062e-17,0.0
1138,0.3194465516108316,2994051815522912.5,3132236779162020.5,3132236704994972.5,-0.7160164583125421,2.1252791204673368e-17,1.659093532133914e-16,0.0,0.0,1.8546030753437107e-68,3.4974627370390547e-16,0.0,1.1924935125248437e-17,0.0
1139,0.17250371266484135,2475461147304572.0,2523168287090296.5,2523168254439972.0,-0.1641654031520215,1.6602922401314695e-17,1.659093532133914e-16,1.659093532133914e-16,0.0,9.273015376718553e-69,5.099843603052377e-16,0.0,6.180846958468936e-18,0.0
1140,0.22512783823945826,1970946004119863.5,1621129365548661.2,1621129353120788.8,-0.0734481272846758,1.8780288865419873e-17,3.318187064267828e-16,1.659093532133914e-16,2.3182538441796384e-69,4.636507688359277e-69,3.4202283935859743e-16,0.0,2.601193501882903e-17,0.0
1141,0.558568073640951,2327765488533817.5,2399138082563816.0,2399138045064361.0,-0.47888392403698726,3.112551801100277e-17,3.318187064267828e-16,0.0,4.636507688359277e-69,9.273015376718553e-69,1.102468181703483e-16,0.0,3.1398120547226717e-17,0.0
1142,0.025508665183551483,3190259522569012.5,3243045914303288.0,3243045886550657.5,0.40101274749441324,8.076338703559224e-18,0.0,0.0,0.0,9.273015376718553e-69,5.228686847649129e-16,0.0,2.1869019767734515e-17,0.0
1143,0.09776839900051337,1373197386301580.5,1343289086636763.5,1343289083977416.8,0.6654541883696363,3.4469017397815415e-17,1.659093532133914e-16,0.0,0.0,2.3182538441796384e-69,1.023606295892142e-16,0.0,4.13796419331985e-17,0.0
1144,0.2271049220137897,2465264528541732.5,2910014382442512.5,2910014371324875.0,0.7019824376310234,4.2196019526175574e-17,3.318187064267828e-16,4.977280596401743e-16,9.273015376718553e-69,0.0,9.310794809257328e-17,0.0,1.2974429466436948e-17,0.0
1145,0.06307723778805747,2273737787089133.5,2336285035409580.0,2336285032593370.5,0.8828795022449262,1.3584062104577757e-17,0.0,1.659093532133914e-16,4.636507688359277e-69,0.0,1.4497959491459123e-16,0.0,4.2496143005841104e-17,0.0
